Date,Open,High,Low,Close,Adj Close,Volume
2019-06-06,40.607212,40.882355,40.303604,40.521820,38.201424,24494200
2019-06-07,40.777988,41.034157,40.664135,40.721062,38.389259,20023500
2019-06-10,41.024670,41.024670,40.483871,40.863377,38.523422,15275700
2019-06-11,40.986717,41.081593,40.370018,40.483871,38.165653,18813200
2019-06-12,40.294117,40.958256,40.284630,40.872864,38.532368,16296800
2019-06-13,40.863377,40.929790,40.199242,40.322582,38.013596,14464000
2019-06-14,40.341557,40.673626,40.303604,40.569260,38.246147,13197900
2019-06-17,40.512333,40.702087,40.180267,40.683113,38.353485,14094900
2019-06-18,40.626186,41.110058,40.626186,40.863377,38.523422,22833400
2019-06-19,40.958256,41.356735,40.882355,41.271347,38.908035,21753600
2019-06-20,41.584438,41.850094,41.280834,41.366222,38.997471,23500300
2019-06-21,41.318787,41.745731,41.091080,41.432636,39.060081,38141200
2019-06-24,41.451614,41.650852,41.242886,41.518028,39.140587,24624100
2019-06-25,41.603416,42.020874,41.518028,41.518028,39.140587,28429000
2019-06-26,41.442123,41.555977,40.322582,40.787476,38.451862,41009300
2019-06-27,40.815941,41.328274,40.806450,41.204933,38.845421,21995000
2019-06-28,41.223907,41.480076,40.777988,41.100571,38.747032,39726200
2019-07-01,41.280834,41.631878,41.119545,41.527515,39.149532,21355800
2019-07-02,41.442123,41.954460,41.423149,41.954460,39.552029,16541900
2019-07-03,42.096775,42.277039,41.726757,42.125237,39.713024,10297600
2019-07-05,42.039848,42.077801,41.537003,41.669830,39.283695,18295200
2019-07-08,41.555977,41.622391,40.777988,41.081593,38.729149,23955300
2019-07-09,41.195446,41.555977,41.081593,41.148006,38.791752,14223300
2019-07-10,41.413662,41.850094,41.214420,41.802658,39.408920,15298600
2019-07-11,41.100571,41.328274,40.208729,40.777988,38.442921,38383500
2019-07-12,40.711575,40.787476,39.857685,40.227703,37.924145,33581000
2019-07-15,40.104362,40.578747,40.075901,40.559772,38.237206,20363900
2019-07-16,40.597721,40.768501,40.303604,40.654648,38.326645,19553400
2019-07-17,40.882355,40.977230,40.540798,40.550285,38.228260,16341500
2019-07-18,40.664135,40.853889,40.370018,40.853889,38.514477,13728900
2019-07-19,40.977230,40.996204,40.578747,40.578747,38.255093,23552600
